name,category,tags,calories,price,canteen
酸辣汤,汤羹,酸;辣;汤羹,116,5.9,学一食堂
土豆牛腩,热菜,咸;荤;家常;辣,688,29.8,学三食堂
皮蛋瘦肉粥,汤羹,清淡;荤;汤羹;早餐,262,6.6,学二食堂
扬州炒饭,主食,荤;咸;主食,511,17.0,学四食堂
紫菜蛋花汤,汤羹,清淡;素;汤羹,85,3.9,学三食堂
酸辣汤,汤羹,酸;辣;汤羹;重油,116,6.0,学二食堂
皮蛋瘦肉粥,汤羹,清淡;荤;汤羹;辣,254,6.2,学四食堂
煎饼果子,小吃,素;咸;小吃,411,10.0,学一食堂
京酱肉丝,热菜,甜;荤;家常,525,23.0,学四食堂
宫保鸡丁,热菜,辣;荤;高蛋白,500,17.0,学四食堂
紫菜蛋花汤,汤羹,清淡;素;汤羹,76,3.9,学四食堂
扬州炒饭,主食,荤;咸;主食,476,14.9,学一食堂
香菇滑鸡,热菜,清淡;荤;低脂,474,19.2,学一食堂
鱼香肉丝,热菜,辣;荤;甜;海鲜,552,18.9,学三食堂
酸菜鱼,热菜,酸;辣;海鲜,730,41.1,学四食堂
馒头,主食,主食;清淡,154,1.0,学二食堂
拍黄瓜,凉菜,清淡;素;凉菜;咸,105,9.0,学一食堂
烤冷面,小吃,酸;甜;辣;特色,458,13.4,学三食堂
鱼香肉丝,热菜,辣;荤;甜,525,17.7,学三食堂
口水鸡,凉菜,辣;荤;凉菜,540,32.6,学一食堂
葱爆羊肉,热菜,荤;咸;高蛋白,610,36.0,学四食堂
酸菜鱼,热菜,酸;辣;海鲜,734,38.9,学四食堂
水饺,主食,主食;荤;特色,415,15.1,学二食堂
干煸四季豆,热菜,辣;素;咸,296,13.3,学二食堂
夫妻肺片,凉菜,辣;荤;凉菜,587,38.3,学三食堂
京酱肉丝,热菜,甜;荤;家常,590,25.1,学四食堂
煎饼果子,小吃,素;咸;小吃;甜,407,10.9,学二食堂
麻辣烫,小吃,辣;重油;汤羹,561,19.3,学四食堂
酸辣汤,汤羹,酸;辣;汤羹,109,5.3,学一食堂
黄焖鸡米饭,热菜,荤;咸;家常;夜宵,657,18.6,学四食堂
酸菜鱼,热菜,酸;辣;海鲜,698,37.1,学二食堂
口水鸡,凉菜,辣;荤;凉菜,473,29.3,学三食堂
干煸四季豆,热菜,辣;素;咸,305,14.5,学四食堂
兰州拉面,主食,主食;汤羹;清淡,366,12.0,学一食堂
兰州拉面,主食,主食;汤羹;清淡,386,12.8,学二食堂
夫妻肺片,凉菜,辣;荤;凉菜,585,33.4,学三食堂
西红柿鸡蛋面,主食,清淡;素;主食,341,12.0,学四食堂
酸菜鱼,热菜,酸;辣;海鲜,710,41.8,学一食堂
热干面,主食,咸;辣;主食,415,9.2,学二食堂
红烧肉,热菜,荤;重油;甜,742,23.7,学四食堂
水饺,主食,主食;荤,413,14.3,学一食堂
传统·麻辣烫,小吃,辣;重油;汤羹,559,19.6,学一食堂
秘制·炸酱面,主食,主食;咸;低脂,457,12.8,学一食堂
招牌·鱼香肉丝,热菜,辣;荤;甜;家常,570,16.9,学三食堂
招牌·米饭,主食,主食;清淡,214,2.3,学三食堂
特色·烤冷面,小吃,酸;甜;辣;微辣,464,12.3,学三食堂
特色·酸辣汤,汤羹,酸;辣;汤羹,118,5.3,学一食堂
传统·地三鲜,热菜,素;咸;重油,482,19.2,学三食堂
秘制·烤冷面,小吃,酸;甜;辣,490,11.4,学一食堂
秘制·米饭,主食,主食;清淡,202,2.1,学四食堂
传统·紫菜蛋花汤,汤羹,清淡;素;汤羹;家常,80,4.2,学二食堂
特色·黄焖鸡米饭,热菜,荤;咸;家常,692,18.6,学三食堂
招牌·宫保鸡丁,热菜,辣;荤;高蛋白,551,15.3,学二食堂
秘制·水煮鱼,热菜,辣;海鲜;重油,862,41.3,学四食堂
招牌·炸酱面,主食,主食;咸,427,15.7,学三食堂
特色·宫保鸡丁,热菜,辣;荤;高蛋白,580,14.3,学一食堂
招牌·番茄炒蛋,热菜,清淡;素;低脂,323,9.5,学一食堂
特色·西红柿鸡蛋面,主食,清淡;素;主食,318,11.5,学三食堂
传统·炸酱面,主食,主食;咸,486,14.8,学二食堂
传统·扬州炒饭,主食,荤;咸;主食;辣,464,17.4,学三食堂
传统·地三鲜,热菜,素;咸;重油,466,17.1,学四食堂
传统·紫菜蛋花汤,汤羹,清淡;素;汤羹,86,3.8,学二食堂
秘制·水饺,主食,主食;荤;清淡,426,15.3,学三食堂
特色·口水鸡,凉菜,辣;荤;凉菜,548,27.3,学三食堂
传统·水饺,主食,主食;荤,378,14.6,学二食堂
传统·香菇滑鸡,热菜,清淡;荤;低脂;高蛋白,440,19.6,学二食堂
招牌·干煸四季豆,热菜,辣;素;咸,294,15.7,学三食堂
招牌·皮蛋瘦肉粥,汤羹,清淡;荤;汤羹,230,6.3,学三食堂
招牌·烤冷面,小吃,酸;甜;辣,425,11.7,学一食堂
秘制·红烧肉,热菜,荤;重油;甜;高蛋白,794,20.9,学二食堂
特色·凉拌木耳,凉菜,酸;素;凉菜,113,11.9,学二食堂
招牌·红烧肉,热菜,荤;重油;甜,760,23.6,学四食堂
传统·葱爆羊肉,热菜,荤;咸;高蛋白;素,643,35.9,学三食堂
秘制·地三鲜,热菜,素;咸;重油,439,17.8,学二食堂
招牌·香菇滑鸡,热菜,清淡;荤;低脂,472,21.1,学二食堂
招牌·麻婆豆腐,热菜,辣;素;咸,360,11.9,学一食堂
招牌·葱爆羊肉,热菜,荤;咸;高蛋白,573,31.8,学二食堂
招牌·京酱肉丝,热菜,甜;荤;家常;海鲜,604,25.3,学一食堂
秘制·米饭,主食,主食;清淡,213,2.3,学四食堂
特色·紫菜蛋花汤,汤羹,清淡;素;汤羹,74,4.2,学三食堂
秘制·紫菜蛋花汤,汤羹,清淡;素;汤羹;早餐,73,3.6,学四食堂
传统·拍黄瓜,凉菜,清淡;素;凉菜,104,7.5,学三食堂
秘制·麻辣烫,小吃,辣;重油;汤羹,653,19.0,学二食堂
秘制·皮蛋瘦肉粥,汤羹,清淡;荤;汤羹,272,6.5,学二食堂
特色·皮蛋瘦肉粥,汤羹,清淡;荤;汤羹;咸,236,6.4,学三食堂
特色·水煮鱼,热菜,辣;海鲜;重油;甜,727,37.5,学四食堂
秘制·土豆牛腩,热菜,咸;荤;家常;夜宵,590,28.1,学四食堂
秘制·酸菜鱼,热菜,酸;辣;海鲜;特色,728,41.5,学二食堂
招牌·鱼香肉丝,热菜,辣;荤;甜,515,18.7,学二食堂
特色·土豆牛腩,热菜,咸;荤;家常,612,24.9,学一食堂
特色·麻婆豆腐,热菜,辣;素;咸,364,12.4,学三食堂
特色·夫妻肺片,凉菜,辣;荤;凉菜;重油,530,34.2,学一食堂
秘制·水饺,主食,主食;荤,362,16.6,学二食堂
传统·葱爆羊肉,热菜,荤;咸;高蛋白,568,31.1,学二食堂
特色·香菇滑鸡,热菜,清淡;荤;低脂,413,19.7,学一食堂
秘制·西红柿鸡蛋面,主食,清淡;素;主食,384,11.0,学四食堂
传统·糖醋里脊,热菜,甜;荤;酸,618,19.8,学二食堂
特色·土豆牛腩,热菜,咸;荤;家常,713,26.3,学四食堂
招牌·米饭,主食,主食;清淡,199,2.0,学二食堂
招牌·鱼香肉丝,热菜,辣;荤;甜,510,15.4,学三食堂
